country,1-2003,2-2003,3-2003,4-2003,5-2003,6-2003,7-2003,8-2003,9-2003,10-2003,11-2003,12-2003,1-2004,2-2004,3-2004,4-2004,5-2004,6-2004,7-2004,8-2004,9-2004,10-2004,11-2004,12-2004,1-2005,2-2005,3-2005,4-2005,5-2005,6-2005,7-2005,8-2005,9-2005,10-2005,11-2005,12-2005,1-2006,2-2006,3-2006,4-2006,5-2006,6-2006,7-2006,8-2006,9-2006,10-2006,11-2006,12-2006,1-2007,2-2007,3-2007,4-2007,5-2007,6-2007,7-2007,8-2007,9-2007,10-2007,11-2007,12-2007
Egypt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,2,0,0,0,1,0,0,3,0,4,2,0,0,0,0,0,0,0,0,0
Nigeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Cambodia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Laos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Thailand,0,0,0,0,0,0,0,0,0,0,0,0,5,7,1,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indonesia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,5,4,7,4,3,8,4,1,18,5,3,3,5,3,2,1,6,0,0,0,0,0,0,0,0,0,0,0
Turkey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Djibouti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Azerbaijan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,3,4,1,2,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Iraq,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vietnam,0,0,0,0,0,0,0,0,0,0,0,4,9,17,1,0,0,0,0,3,1,0,0,2,11,5,5,7,0,8,1,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
